date,equity,cash,invested,gross_pct,regime,n_positions
2023-05-25,2224908.47,0.0,2224908.47,1.0,多頭,8
2023-05-26,2228555.93,0.0,2228555.93,1.0,多頭,8
2023-05-29,2285700.99,0.0,2285700.99,1.0,多頭,8
2023-05-30,2287056.28,0.0,2287056.28,1.0,多頭,8
2023-05-31,2285927.29,0.0,2285927.29,1.0,多頭,8
2023-06-01,2279583.86,0.0,2279583.86,1.0,多頭,8
2023-06-02,2316229.96,0.0,2316229.96,1.0,多頭,8
2023-06-05,2323177.31,0.0,2323177.31,1.0,多頭,8
2023-06-06,2317368.45,0.0,2317368.45,1.0,多頭,8
2023-06-07,2338516.76,0.0,2338516.76,1.0,多頭,8
2023-06-08,2294476.75,0.0,2294476.75,1.0,多頭,8
2023-06-09,2355046.3,0.0,2355046.3,1.0,多頭,8
2023-06-12,2340669.56,0.0,2340669.56,1.0,多頭,8
2023-06-13,2434466.17,0.0,2434466.17,1.0,多頭,8
2023-06-14,2408688.0,0.0,2408688.0,1.0,多頭,8
2023-06-15,2446715.4,0.0,2446715.4,1.0,多頭,8
2023-06-16,2442504.32,0.0,2442504.32,1.0,多頭,8
2023-06-19,2459689.77,0.0,2459689.77,1.0,多頭,8
2023-06-20,2445991.62,0.0,2445991.62,1.0,多頭,8
2023-06-21,2457532.12,0.0,2457532.12,1.0,多頭,9
2023-06-26,2437072.54,0.0,2437072.54,1.0,多頭,9
2023-06-27,2383784.03,467625.32,1916158.71,0.8038,盤整,8
2023-06-28,2389801.55,707523.09,1682278.46,0.7039,盤整,7
2023-06-29,2397332.82,719904.45,1677428.37,0.6997,盤整,7
2023-06-30,2408815.85,724809.58,1684006.27,0.6991,盤整,7
2023-07-03,2458618.77,0.0,2458618.77,1.0,多頭,9
2023-07-04,2574425.46,0.0,2574425.46,1.0,多頭,9
2023-07-05,2596836.41,0.0,2596836.41,1.0,多頭,9
2023-07-06,2569303.65,383742.98,2185560.67,0.8506,盤整,8
2023-07-07,2538147.68,406247.16,2131900.52,0.8399,盤整,7
2023-07-10,2503906.38,619855.0,1884051.37,0.7524,盤整,6
2023-07-11,2514925.06,754969.65,1759955.41,0.6998,盤整,6
2023-07-12,2552984.31,766386.93,1786597.38,0.6998,盤整,6
2023-07-13,2551268.88,0.0,2551268.88,1.0,多頭,8
2023-07-14,2594340.46,0.0,2594340.46,1.0,多頭,8
2023-07-17,2657818.16,0.0,2657818.16,1.0,多頭,8
2023-07-18,2631818.58,0.0,2631818.58,1.0,多頭,8
2023-07-19,2619275.44,0.0,2619275.44,1.0,多頭,8
2023-07-20,2652599.91,0.0,2652599.91,1.0,多頭,8
2023-07-21,2661841.95,0.0,2661841.95,1.0,多頭,8
2023-07-24,2676107.29,0.0,2676107.29,1.0,多頭,8
2023-07-25,2693347.52,0.0,2693347.52,1.0,多頭,8
2023-07-26,2686658.07,0.0,2686658.07,1.0,多頭,8
2023-07-27,2751538.38,0.0,2751538.38,1.0,多頭,8
2023-07-28,2804872.67,0.0,2804872.67,1.0,多頭,8
2023-07-31,2716664.45,0.0,2716664.45,1.0,多頭,9
2023-08-01,2706550.6,0.0,2706550.6,1.0,多頭,10
2023-08-02,2598460.23,384239.65,2214220.58,0.8521,盤整,9
2023-08-04,2604907.72,457406.07,2147501.65,0.8244,盤整,8
2023-08-07,2643016.14,792339.63,1850676.5,0.7002,盤整,8
2023-08-08,2616017.27,792339.63,1823677.63,0.6971,盤整,8
2023-08-09,2602301.68,792339.63,1809962.05,0.6955,盤整,8
2023-08-10,2537740.5,792339.63,1745400.86,0.6878,盤整,8
2023-08-11,2543033.51,762935.07,1780098.43,0.7,盤整,9
2023-08-14,2511269.03,886199.79,1625069.23,0.6471,盤整,9
2023-08-15,2539177.65,761219.66,1777957.99,0.7002,盤整,10
2023-08-16,2567930.11,769501.69,1798428.43,0.7003,盤整,10
2023-08-17,2596544.57,778703.68,1817840.89,0.7001,盤整,10
2023-08-18,2550574.08,846019.89,1704554.2,0.6683,空頭,9
2023-08-21,2561769.88,923718.15,1638051.72,0.6394,空頭,8
2023-08-22,2568977.75,1346629.8,1222347.94,0.4758,空頭,7
2023-08-23,2601657.24,1620405.18,981252.06,0.3772,空頭,6
2023-08-24,2611832.77,781244.34,1830588.44,0.7009,盤整,8
2023-08-25,2593664.31,911581.12,1682083.19,0.6485,空頭,7
2023-08-28,2589676.82,942945.1,1646731.72,0.6359,空頭,6
2023-08-29,2587013.97,1110891.04,1476122.94,0.5706,空頭,5
2023-08-30,2601280.09,782238.24,1819041.85,0.6993,盤整,6
2023-08-31,2605957.9,784237.6,1821720.3,0.6991,盤整,6
2023-09-01,2574990.79,784237.6,1790753.18,0.6954,盤整,6
2023-09-04,2588733.37,784237.6,1804495.77,0.6971,盤整,6
2023-09-05,2637688.83,790575.43,1847113.41,0.7003,盤整,7
2023-09-06,2623862.04,790575.43,1833286.61,0.6987,盤整,7
2023-09-07,2610955.61,790575.43,1820380.19,0.6972,盤整,7
2023-09-08,2600048.07,790575.43,1809472.64,0.6959,盤整,7
2023-09-11,2558917.96,945148.74,1613769.22,0.6306,空頭,6
2023-09-12,2563454.06,1396513.89,1166940.17,0.4552,空頭,5
2023-09-13,2552012.24,1531864.17,1020148.07,0.3997,空頭,5
2023-09-14,2570456.83,770469.08,1799987.75,0.7003,盤整,7
2023-09-15,2576562.63,772257.68,1804304.95,0.7003,盤整,7
2023-09-18,2580765.33,774497.08,1806268.25,0.6999,盤整,7
2023-09-19,2549867.93,1046413.42,1503454.51,0.5896,空頭,6
2023-09-20,2533143.86,1075357.5,1457786.36,0.5755,空頭,5
2023-09-21,2504443.31,1345845.5,1158597.81,0.4626,空頭,4
2023-09-22,2519947.91,1854743.97,665203.93,0.264,空頭,3
2023-09-25,2524603.38,1514762.03,1009841.35,0.4,空頭,4
2023-09-26,2511059.41,1514762.03,996297.38,0.3968,空頭,4
2023-09-27,2508457.56,1514762.03,993695.53,0.3961,空頭,4
2023-09-28,2508309.52,1514762.03,993547.48,0.3961,空頭,4
2023-10-02,2546250.95,1527247.49,1019003.47,0.4002,空頭,4
2023-10-03,2527379.78,1527247.49,1000132.29,0.3957,空頭,4
2023-10-04,2516363.47,1527247.49,989115.99,0.3931,空頭,4
2023-10-05,2522994.64,1513832.22,1009162.41,0.4,空頭,5
2023-10-06,2509668.58,755577.03,1754091.54,0.6989,盤整,8
2023-10-11,2499228.47,755577.03,1743651.44,0.6977,盤整,8
2023-10-12,2522279.38,755797.01,1766482.37,0.7004,盤整,8
2023-10-13,2520829.47,756079.34,1764750.12,0.7001,盤整,8
2023-10-16,2467941.97,740372.55,1727569.42,0.7,盤整,9
2023-10-17,2467935.01,739986.09,1727948.92,0.7002,盤整,9
2023-10-18,2460383.92,967689.6,1492694.33,0.6067,空頭,8
2023-10-19,2464363.86,980937.77,1483426.09,0.602,空頭,7
2023-10-20,2428909.97,1191270.17,1237639.81,0.5095,空頭,6
2023-10-23,2421062.43,1223936.61,1197125.82,0.4945,空頭,5
2023-10-24,2409470.46,1446886.94,962583.52,0.3995,空頭,5
2023-10-25,2416183.51,1446193.0,969990.51,0.4015,空頭,5
2023-10-26,2381548.7,1446193.0,935355.69,0.3928,空頭,5
2023-10-27,2374654.68,1446193.0,928461.67,0.391,空頭,5
2023-10-30,2397358.02,1446193.0,951165.02,0.3968,空頭,5
2023-10-31,2373319.67,1446193.0,927126.67,0.3906,空頭,5
2023-11-01,2396429.49,1446193.0,950236.49,0.3965,空頭,5
2023-11-02,2422710.34,728321.08,1694389.25,0.6994,盤整,8
2023-11-03,2411923.4,728321.08,1683602.31,0.698,盤整,8
2023-11-06,2424348.89,728321.08,1696027.8,0.6996,盤整,8
2023-11-07,2458810.71,737767.64,1721043.07,0.6999,盤整,8
2023-11-08,2444812.46,737767.64,1707044.83,0.6982,盤整,8
2023-11-09,2416623.65,725020.43,1691603.21,0.7,盤整,9
2023-11-10,2409697.27,725020.43,1684676.84,0.6991,盤整,9
2023-11-13,2416813.33,724993.53,1691819.8,0.7,盤整,9
2023-11-14,2420232.42,727999.35,1692233.06,0.6992,盤整,9
2023-11-15,2406859.29,727999.35,1678859.94,0.6975,盤整,9
2023-11-16,2413026.86,727999.35,1685027.51,0.6983,盤整,9
2023-11-17,2428877.04,731337.41,1697539.63,0.6989,盤整,9
2023-11-20,2479355.08,0.0,2479355.08,1.0,多頭,11
2023-11-21,2482498.67,0.0,2482498.67,1.0,多頭,11
2023-11-22,2542581.48,0.0,2542581.48,1.0,多頭,11
2023-11-23,2513174.18,0.0,2513174.18,1.0,多頭,11
2023-11-24,2545383.58,0.0,2545383.58,1.0,多頭,11
2023-11-27,2507729.4,0.0,2507729.4,1.0,多頭,11
2023-11-28,2567517.7,0.0,2567517.7,1.0,多頭,11
2023-11-29,2598767.32,0.0,2598767.32,1.0,多頭,11
2023-11-30,2598460.58,0.0,2598460.58,1.0,多頭,11
2023-12-01,2592935.78,0.0,2592935.78,1.0,多頭,11
2023-12-04,2611950.97,0.0,2611950.97,1.0,多頭,11
2023-12-05,2581578.09,0.0,2581578.09,1.0,多頭,11
2023-12-06,2606350.19,0.0,2606350.19,1.0,多頭,11
2023-12-07,2567517.97,0.0,2567517.97,1.0,多頭,11
2023-12-08,2576602.08,0.0,2576602.08,1.0,多頭,11
2023-12-11,2616997.15,0.0,2616997.15,1.0,多頭,11
2023-12-12,2602434.24,0.0,2602434.24,1.0,多頭,11
2023-12-13,2612054.89,0.0,2612054.89,1.0,多頭,11
2023-12-14,2638908.66,0.0,2638908.66,1.0,多頭,11
2023-12-15,2585986.08,0.0,2585986.08,1.0,多頭,11
2023-12-18,2521646.73,0.0,2521646.73,1.0,多頭,11
2023-12-19,2492014.27,176877.28,2315136.99,0.929,多頭,10
2023-12-20,2549273.43,0.0,2549273.43,1.0,多頭,11
2023-12-21,2537319.07,0.0,2537319.07,1.0,多頭,11
2023-12-22,2525710.06,0.0,2525710.06,1.0,多頭,11
2023-12-25,2505454.26,0.0,2505454.26,1.0,多頭,11
2023-12-26,2513239.42,0.0,2513239.42,1.0,多頭,11
2023-12-27,2550573.42,0.0,2550573.42,1.0,多頭,11
2023-12-28,2526442.99,0.0,2526442.99,1.0,多頭,11
2023-12-29,2526844.39,0.0,2526844.39,1.0,多頭,11
2024-01-02,2520636.65,750568.0,1770068.65,0.7022,多頭,9
2024-01-03,2507444.59,752608.09,1754836.5,0.6999,盤整,9
2024-01-04,2492415.81,752608.09,1739807.72,0.698,盤整,9
2024-01-05,2501949.54,752608.09,1749341.45,0.6992,盤整,9
2024-01-08,2479992.82,744041.49,1735951.33,0.7,盤整,9
2024-01-09,2480057.68,744041.49,1736016.19,0.7,盤整,9
2024-01-10,2471673.94,744041.49,1727632.45,0.699,盤整,9
2024-01-11,2467257.4,740126.86,1727130.54,0.7,盤整,9
2024-01-12,2446654.25,735060.93,1711593.32,0.6996,盤整,9
2024-01-15,2481600.44,744048.27,1737552.17,0.7002,盤整,9
2024-01-16,2491735.16,747480.71,1744254.46,0.7,盤整,10
2024-01-17,2476205.0,747480.71,1728724.29,0.6981,盤整,10
2024-01-18,2450280.83,735174.18,1715106.65,0.7,盤整,11
2024-01-19,2460785.13,0.0,2460785.13,1.0,多頭,12
2024-01-22,2522972.45,0.0,2522972.45,1.0,多頭,12
2024-01-23,2527204.43,0.0,2527204.43,1.0,多頭,12
2024-01-24,2522716.72,0.0,2522716.72,1.0,多頭,12
2024-01-25,2545473.24,0.0,2545473.24,1.0,多頭,12
2024-01-26,2540283.07,0.0,2540283.07,1.0,多頭,12
2024-01-29,2553757.74,0.0,2553757.74,1.0,多頭,12
2024-01-30,2557080.35,0.0,2557080.35,1.0,多頭,12
2024-01-31,2547603.57,0.0,2547603.57,1.0,多頭,12
2024-02-01,2511133.02,0.0,2511133.02,1.0,多頭,12
2024-02-02,2528297.33,0.0,2528297.33,1.0,多頭,12
2024-02-05,2527218.26,0.0,2527218.26,1.0,多頭,12
2024-02-15,2598836.87,0.0,2598836.87,1.0,多頭,12
2024-02-16,2591906.72,0.0,2591906.72,1.0,多頭,12
2024-02-19,2599496.15,0.0,2599496.15,1.0,多頭,12
2024-02-20,2605225.69,0.0,2605225.69,1.0,多頭,12
2024-02-21,2599397.74,0.0,2599397.74,1.0,多頭,12
2024-02-22,2570645.1,0.0,2570645.1,1.0,多頭,12
2024-02-23,2573163.89,0.0,2573163.89,1.0,多頭,11
2024-02-26,2605666.04,0.0,2605666.04,1.0,多頭,11
2024-02-27,2579908.01,11327.32,2568580.68,0.9956,多頭,10
2024-02-29,2555258.29,0.0,2555258.29,1.0,多頭,11
